"filename", "language", "Python", "Markdown", "pip requirements", "comment", "blank", "total"
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\_main.py", "Python", 3, 0, 0, 0, 2, 5
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\__init__.py", "Python", 86, 0, 0, 3, 21, 110
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\grabber.py", "Python", 15, 0, 0, 0, 4, 19
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\material\__init__.py", "Python", 17, 0, 0, 2, 8, 27
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\material\const.py", "Python", 326, 0, 0, 0, 4, 330
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\mesh\__init__.py", "Python", 10, 0, 0, 0, 4, 14
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\mesh\rbxmesh.py", "Python", 912, 0, 0, 14, 196, 1122
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\rbxl\__init__.py", "Python", 16, 0, 0, 1, 5, 22
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\rbxl\_logic.py", "Python", 297, 0, 0, 3, 52, 352
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\rbxl\downdate_font.py", "Python", 73, 0, 0, 5, 7, 85
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\rbxl\roblox_links.py", "Python", 11, 0, 0, 2, 4, 17
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\rbxl\script_disabled.py", "Python", 22, 0, 0, 1, 8, 31
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\serialisers\rbxl\skip_bytecode.py", "Python", 13, 0, 0, 1, 4, 18
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\README.md", "Markdown", 0, 3, 0, 0, 0, 3
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\__init__.py", "Python", 33, 0, 0, 0, 8, 41
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\_logic.py", "Python", 10, 0, 0, 0, 4, 14
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\allocateable.py", "Python", 86, 0, 0, 2, 14, 102
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\structure.py", "Python", 46, 0, 0, 0, 13, 59
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\types\__init__.py", "Python", 78, 0, 0, 1, 20, 99
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\types\structs.py", "Python", 31, 0, 0, 0, 11, 42
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\config\types\wrappers.py", "Python", 31, 0, 0, 0, 9, 40
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\data_transfer\README.md", "Markdown", 0, 5, 0, 0, 5, 10
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\data_transfer\__init__.py", "Python", 63, 0, 0, 1, 16, 80
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\README.md", "Markdown", 0, 60, 0, 0, 49, 109
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\__init__.py", "Python", 83, 0, 0, 7, 20, 110
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\downloader\__init__.py", "Python", 17, 0, 0, 0, 5, 22
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\_logic.py", "Python", 227, 0, 0, 4, 62, 293
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\clear_appdata.py", "Python", 52, 0, 0, 0, 15, 67
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\download.py", "Python", 23, 0, 0, 0, 10, 33
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\player.py", "Python", 88, 0, 0, 0, 16, 104
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\rcc_server.py", "Python", 171, 0, 0, 2, 29, 202
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\studio.py", "Python", 42, 0, 0, 0, 9, 51
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\routines\web_server.py", "Python", 49, 0, 0, 0, 11, 60
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\startup_scripts\rcc_server.py", "Python", 37, 0, 0, 0, 9, 46
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\_logic.py", "Python", 54, 0, 0, 1, 18, 73
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\_logic.py", "Python", 16, 0, 0, 0, 5, 21
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\clear_appdata.py", "Python", 40, 0, 0, 0, 11, 51
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\debug.py", "Python", 42, 0, 0, 0, 11, 53
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_aux\download.py", "Python", 29, 0, 0, 1, 8, 38
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\launcher\subparsers\args_launch_mode\download.py", "Python", 40, 0, 0, 0, 6, 46
