"filename", "language", "Markdown", "Python", "pip requirements", "Shell Script", "TOML", "JSON", "PowerShell", "comment", "blank", "total"
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\GameConfig.toml", "TOML", 0, 0, 0, 0, 139, 0, 0, 14, 27, 180
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\AddStrings2021E\README.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 0, 23, 47
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\DataModelPatch\README.md", "Markdown", 107, 0, 0, 0, 0, 0, 0, 0, 46, 153
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\MakeAssetUrlsPermissive\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\PatchMaterials\MaterialPacks.json", "JSON", 0, 0, 0, 0, 0, 510, 0, 0, 0, 510
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\PatchMaterials\MaterialPacks2.json", "JSON", 0, 0, 0, 0, 0, 565, 0, 0, 0, 565
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\PatchMaterials\README.md", "Markdown", 1, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\PatchMaterials\_.py", "Python", 0, 23, 0, 0, 0, 0, 0, 0, 4, 27
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\PortAgnosticness\README.md", "Markdown", 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\README.md", "Markdown", 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\SavePlace\README.md", "Markdown", 85, 0, 0, 0, 0, 0, 0, 0, 37, 122
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Guides\Worships2021EGuide\README.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 0, 28, 128
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\LEGAL.md", "Markdown", 19, 0, 0, 0, 0, 0, 0, 0, 17, 36
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\LICENSE.md", "Markdown", 564, 0, 0, 0, 0, 0, 0, 0, 112, 676
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\README.md", "Markdown", 100, 0, 0, 0, 0, 0, 0, 0, 69, 169
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\ROADMAP.md", "Markdown", 22, 0, 0, 0, 0, 0, 0, 0, 13, 35
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\ReleaseNewVersion.ps1", "PowerShell", 0, 0, 0, 0, 0, 0, 51, 2, 7, 60
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\_main.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\__init__.py", "Python", 0, 51, 0, 0, 0, 0, 0, 2, 10, 63
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\download.py", "Python", 0, 18, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\extract.py", "Python", 0, 55, 0, 0, 0, 0, 0, 0, 16, 71
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\material\__init__.py", "Python", 0, 37, 0, 0, 0, 0, 0, 7, 15, 59
"c:\Users\USERNAME\Documents\Projects\FilteringDisabled\Source\assets\material\const.py", "Python", 0, 326, 0, 0, 0, 0, 0, 0, 4, 330
