Key,Context,Example,Source,de,en-us,es,es-es,fr,it,ja,pt,ru
Average,,,,Durchschnitt,Average,Promedio,Promedio,Moyen,Media,平均,Média,Среднее
BACKPACK_SEARCH,,,,Suchen,Search,Buscar,Buscar,Rechercher,Cerca,サーチ,Pesquisar,Поиск
Current,,,,Aktuell,Current,Actual,Actual,Actuel,Attuale,現在,Atual,Текущее
FriendPlayerPrompt.DoPromptRequestFriendPlayer,,,,Möchtest du {RBX_NAME} eine Freundesanfrage senden?,Would you like to send {RBX_NAME} a Friend Request?,¿Quieres enviar a {RBX_NAME} una solicitud de amistad?,¿Quieres enviar a {RBX_NAME} una solicitud de amistad?,Souhaitez-vous envoyer une demande d'ami à {RBX_NAME} ?,Vuoi inviare una richiesta di amicizia a {RBX_NAME}?,{RBX_NAME} に友達リクエストを送りますか？,Gostaria de enviar um pedido de amizade para {RBX_NAME}?,Отправить пользователю {RBX_NAME} запрос дружбы?
FriendPlayerPrompt.DoPromptUnfriendPlayer,,,,Möchtest du {RBX_NAME} von deiner Freundesliste entfernen?,Would you like to remove {RBX_NAME} from your friends list?,¿Quieres eliminar a {RBX_NAME} de tu lista de amigos?,¿Quieres eliminar a {RBX_NAME} de tu lista de amigos?,Souhaitez-vous retirer {RBX_NAME} de votre liste d'amis ?,Vuoi rimuovere {RBX_NAME} dalla tua lista amici?,{RBX_NAME} を友達リストから削除しますか？,Gostaria de remover {RBX_NAME} da sua lista de amigos?,Удалить пользователя {RBX_NAME} из списка друзей?
FriendPlayerPrompt.promptCompletedCallback.AtFriendLimit,,,,"Du kannst {RBX_NAME} keine Freundesanfrage senden, da dieser Spieler die max. Anzahl an Freunden erreicht hat.",You can not send a friend request to {RBX_NAME} because they are at the max friend limit.,No puedes enviar una solicitud de amistad a {RBX_NAME} porque ha alcanzado el límite máximo de amigos.,No puedes enviar una solicitud de amistad a {RBX_NAME} porque ha alcanzado el límite máximo de amigos.,"Vous ne pouvez pas envoyer une demande d'ami à {RBX_NAME}, car il a atteint sa limite maximale d'amis.",Non puoi inviare una richiesta di amicizia a {RBX_NAME} perché ha raggiunto il limite massimo di amici.,{RBX_NAME}の友達が最大数に達しているため友達リクエストが送れませんでした。,Você não pode enviar um pedido de amizade para {RBX_NAME} pois ele(a) alcançou o limite máximo de amigos.,Нельзя отправить запрос дружбы пользователю {RBX_NAME}: количество его друзей достигло максимума.
FriendPlayerPrompt.promptCompletedCallback.UnknownError,,,,Beim Senden der Freundesanfrage an {RBX_NAME} ist ein Fehler aufgetreten. Bitte versuche es später erneut.,An error occurred while sending {RBX_NAME} a friend request. Please try again later.,Se ha producido un error al enviar una solicitud de amistad a {RBX_NAME}. Inténtalo de nuevo más tarde.,Se ha producido un error al enviar una solicitud de amistad a {RBX_NAME}. Inténtalo de nuevo más tarde.,Une erreur est survenue lors de l'envoi de la demande d'ami à {RBX_NAME}. Veuillez réessayer plus tard.,Si è verificato un errore nell'invio della richiesta di amicizia a {RBX_NAME}. Riprova più tardi.,{RBX_NAME} への友達リクエスト中にエラーが発生しました。しばらくしてからやり直してください。,Um erro ocorreu ao enviar um pedido de amizade para {RBX_NAME}. Tente de novo mais tarde.,При отправлении запроса дружбы пользователю {RBX_NAME} произошла ошибка. Повторите попытку позже.
KEY_DESCRIPTION_OPTIONAL,,,,Optional,Optional,Opcional,Opcional,Optionnel,Opzionale,オプション,Opcional,По усмотрению
KEY_PLAYER_IDLE_DISCONNECT,,,,"Deine Verbindung wurde getrennt, da du {RBX_NUMBER} Minuten lang untätig warst.",You were disconnected for being idle {RBX_NUMBER} minutes,Se te ha desconectado por no mostrar actividad durante {RBX_NUMBER} minutos.,Se te ha desconectado por no mostrar actividad durante {RBX_NUMBER} minutos.,Vous avez été déconnecté car vous êtes resté inactif durant {RBX_NUMBER} minutes.,Sei stato disconnesso perché inattivo per {RBX_NUMBER} minuti,{RBX_NUMBER} 分間アイドル状態だったので切断されました。,Você perdeu a conexão por ficar inativo(a) por {RBX_NUMBER} minutos,"Вы отключены, так как не были активны в течение {RBX_NUMBER} мин."
Network,,,,(Netzwerk),(Network),(Red),(Red),(Réseau),(Rete),(ネットワーク),(Rede),(Сеть)
